frequency (Hz),Parameter,dV(2),dV(3)
1.000000e+00,V1,9.999996e-01-6.283208e-04j,1.000004e+00-6.283232e-04j
1.000000e+00,R1,-7.895740e-08-6.283203e-05j,-7.895771e-08-6.283227e-05j
1.000000e+00,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.000000e+00,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
1.832981e+00,V1,9.999987e-01-1.151709e-03j,1.000012e+00-1.151725e-03j
1.832981e+00,R1,-2.652870e-07-1.151706e-04j,-2.652905e-07-1.151722e-04j
1.832981e+00,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.832981e+00,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
3.359818e+00,V1,9.999955e-01-2.111121e-03j,1.000040e+00-2.111215e-03j
3.359818e+00,R1,-8.913662e-07-2.111102e-04j,-8.914059e-07-2.111196e-04j
3.359818e+00,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
3.359818e+00,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
6.158482e+00,V1,9.999850e-01-3.870010e-03j,1.000135e+00-3.870589e-03j
6.158482e+00,R1,-2.995395e-06-3.869894e-04j,-2.995844e-06-3.870474e-04j
6.158482e+00,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
6.158482e+00,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
1.128838e+01,V1,9.999496e-01-7.095910e-03j,1.000453e+00-7.099482e-03j
1.128838e+01,R1,-1.007039e-05-7.095196e-04j,-1.007546e-05-7.098767e-04j
1.128838e+01,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.128838e+01,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
2.069138e+01,V1,9.998304e-01-1.302058e-02j,1.001523e+00-1.304263e-02j
2.069138e+01,R1,-3.390711e-05-1.301617e-03j,-3.396451e-05-1.303820e-03j
2.069138e+01,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
2.069138e+01,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
3.792690e+01,V1,9.994259e-01-2.395252e-02j,1.005134e+00-2.408931e-02j
3.792690e+01,R1,-1.147446e-04-2.392502e-03j,-1.153999e-04-2.406166e-03j
3.792690e+01,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
3.792690e+01,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
6.951928e+01,V1,9.980210e-01-4.444174e-02j,1.017433e+00-4.530617e-02j
6.951928e+01,R1,-3.950137e-04-4.426584e-03j,-4.026970e-04-4.512685e-03j
6.951928e+01,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
6.951928e+01,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
1.274275e+02,V1,9.927345e-01-8.492756e-02j,1.060732e+00-9.074466e-02j
1.274275e+02,R1,-1.442538e-03-8.369348e-03j,-1.541344e-03-8.942606e-03j
1.274275e+02,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.274275e+02,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
2.335721e+02,V1,9.661976e-01-1.807201e-01j,1.231418e+00-2.303277e-01j
2.335721e+02,R1,-6.531954e-03-1.685026e-02j,-8.324971e-03-2.147565e-02j
2.335721e+02,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
2.335721e+02,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
4.281332e+02,V1,5.135006e-01-4.998177e-01j,1.858030e+00-1.808521e+00j
4.281332e+02,R1,-4.996355e-02-1.349564e-03j,-1.807862e-01-4.883208e-03j
4.281332e+02,L1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
4.281332e+02,C1,-0.000000e+00+0.000000e+00j,0.000000e+00-0.000000e+00j
7.847600e+02,V1,8.939081e-01+3.079552e-01j,-6.245553e-01-2.151620e-01j
7.847600e+02,R1,-1.896729e-02+2.426121e-02j,1.325206e-02-1.695081e-02j
7.847600e+02,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
7.847600e+02,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.438450e+03,V1,9.843531e-01+1.241050e-01j,-1.373140e-01-1.731224e-02j
1.438450e+03,R1,-3.080412e-03+1.202213e-02j,4.297072e-04-1.677047e-03j
1.438450e+03,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
1.438450e+03,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
2.636651e+03,V1,9.960909e-01+6.240021e-02j,-3.766635e-02-2.359612e-03j
2.636651e+03,R1,-7.787574e-04+6.191236e-03j,2.944806e-05-2.341165e-04j
2.636651e+03,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
2.636651e+03,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
4.832930e+03,V1,9.988928e-01+3.325554e-02j,-1.095150e-02-3.646018e-04j
4.832930e+03,R1,-2.211862e-04+3.318190e-03j,2.425006e-06-3.637944e-05j
4.832930e+03,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
4.832930e+03,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
8.858668e+03,V1,9.996752e-01+1.801834e-02j,-3.237177e-03-5.834749e-05j
8.858668e+03,R1,-6.493210e-05+1.800663e-03j,2.102650e-07-5.830960e-06j
8.858668e+03,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
8.858668e+03,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.623777e+04,V1,9.999038e-01+9.810010e-03j,-9.615309e-04-9.433536e-06j
1.623777e+04,R1,-1.924726e-05+9.808121e-04j,1.850862e-08-9.431720e-07j
1.623777e+04,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
1.623777e+04,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
2.976351e+04,V1,9.999714e-01+5.348693e-03j,-2.860116e-04-1.529832e-06j
2.976351e+04,R1,-5.721704e-06+5.348387e-04j,1.636520e-09-1.529744e-07j
2.976351e+04,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
2.976351e+04,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
5.455595e+04,V1,9.999915e-01+2.917503e-03j,-8.511171e-05-2.483158e-07j
5.455595e+04,R1,-1.702365e-06+2.917453e-04j,1.448924e-10-2.483115e-08j
5.455595e+04,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
5.455595e+04,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
1.000000e+05,V1,9.999975e-01+1.591586e-03j,-2.533087e-05-4.031636e-08j
1.000000e+05,R1,-5.066290e-07+1.591578e-04j,1.283339e-11-4.031615e-09j
1.000000e+05,L1,0.000000e+00+0.000000e+00j,0.000000e+00+0.000000e+00j
1.000000e+05,C1,0.000000e+00+0.000000e+00j,-0.000000e+00+0.000000e+00j
