voltage (V),Parameter,dV(2)
0.000000e+00,V1,5.000000e-01
0.000000e+00,R1,-0.000000e+00
0.000000e+00,R2,0.000000e+00
1.000000e-01,V1,5.000000e-01
1.000000e-01,R1,-2.500000e-05
1.000000e-01,R2,2.500000e-05
2.000000e-01,V1,5.000000e-01
2.000000e-01,R1,-5.000000e-05
2.000000e-01,R2,5.000000e-05
3.000000e-01,V1,5.000000e-01
3.000000e-01,R1,-7.500000e-05
3.000000e-01,R2,7.500000e-05
4.000000e-01,V1,5.000000e-01
4.000000e-01,R1,-1.000000e-04
4.000000e-01,R2,1.000000e-04
5.000000e-01,V1,5.000000e-01
5.000000e-01,R1,-1.250000e-04
5.000000e-01,R2,1.250000e-04
6.000000e-01,V1,5.000000e-01
6.000000e-01,R1,-1.500000e-04
6.000000e-01,R2,1.500000e-04
7.000000e-01,V1,5.000000e-01
7.000000e-01,R1,-1.750000e-04
7.000000e-01,R2,1.750000e-04
8.000000e-01,V1,5.000000e-01
8.000000e-01,R1,-2.000000e-04
8.000000e-01,R2,2.000000e-04
9.000000e-01,V1,5.000000e-01
9.000000e-01,R1,-2.250000e-04
9.000000e-01,R2,2.250000e-04
1.000000e+00,V1,5.000000e-01
1.000000e+00,R1,-2.500000e-04
1.000000e+00,R2,2.500000e-04
1.100000e+00,V1,5.000000e-01
1.100000e+00,R1,-2.750000e-04
1.100000e+00,R2,2.750000e-04
1.200000e+00,V1,5.000000e-01
1.200000e+00,R1,-3.000000e-04
1.200000e+00,R2,3.000000e-04
1.300000e+00,V1,5.000000e-01
1.300000e+00,R1,-3.250000e-04
1.300000e+00,R2,3.250000e-04
1.400000e+00,V1,5.000000e-01
1.400000e+00,R1,-3.500000e-04
1.400000e+00,R2,3.500000e-04
1.500000e+00,V1,5.000000e-01
1.500000e+00,R1,-3.750000e-04
1.500000e+00,R2,3.750000e-04
1.600000e+00,V1,5.000000e-01
1.600000e+00,R1,-4.000000e-04
1.600000e+00,R2,4.000000e-04
1.700000e+00,V1,5.000000e-01
1.700000e+00,R1,-4.250000e-04
1.700000e+00,R2,4.250000e-04
1.800000e+00,V1,5.000000e-01
1.800000e+00,R1,-4.500000e-04
1.800000e+00,R2,4.500000e-04
1.900000e+00,V1,5.000000e-01
1.900000e+00,R1,-4.750000e-04
1.900000e+00,R2,4.750000e-04
2.000000e+00,V1,5.000000e-01
2.000000e+00,R1,-5.000000e-04
2.000000e+00,R2,5.000000e-04
2.100000e+00,V1,5.000000e-01
2.100000e+00,R1,-5.250000e-04
2.100000e+00,R2,5.250000e-04
2.200000e+00,V1,5.000000e-01
2.200000e+00,R1,-5.500000e-04
2.200000e+00,R2,5.500000e-04
2.300000e+00,V1,5.000000e-01
2.300000e+00,R1,-5.750000e-04
2.300000e+00,R2,5.750000e-04
2.400000e+00,V1,5.000000e-01
2.400000e+00,R1,-6.000000e-04
2.400000e+00,R2,6.000000e-04
2.500000e+00,V1,5.000000e-01
2.500000e+00,R1,-6.250000e-04
2.500000e+00,R2,6.250000e-04
2.600000e+00,V1,5.000000e-01
2.600000e+00,R1,-6.500000e-04
2.600000e+00,R2,6.500000e-04
2.700000e+00,V1,5.000000e-01
2.700000e+00,R1,-6.750000e-04
2.700000e+00,R2,6.750000e-04
2.800000e+00,V1,5.000000e-01
2.800000e+00,R1,-7.000000e-04
2.800000e+00,R2,7.000000e-04
2.900000e+00,V1,5.000000e-01
2.900000e+00,R1,-7.250000e-04
2.900000e+00,R2,7.250000e-04
3.000000e+00,V1,5.000000e-01
3.000000e+00,R1,-7.500000e-04
3.000000e+00,R2,7.500000e-04
3.100000e+00,V1,5.000000e-01
3.100000e+00,R1,-7.750000e-04
3.100000e+00,R2,7.750000e-04
3.200000e+00,V1,5.000000e-01
3.200000e+00,R1,-8.000000e-04
3.200000e+00,R2,8.000000e-04
3.300000e+00,V1,5.000000e-01
3.300000e+00,R1,-8.250000e-04
3.300000e+00,R2,8.250000e-04
3.400000e+00,V1,5.000000e-01
3.400000e+00,R1,-8.500000e-04
3.400000e+00,R2,8.500000e-04
