time (s),Parameter,dV(out),dV(vdd)
0.000000e+00,V1,1.000000e+00,1.000000e+00
0.000000e+00,V2,0.000000e+00,0.000000e+00
0.000000e+00,R1,-0.000000e+00,0.000000e+00
0.000000e+00,M1_W,0.000000e+00,0.000000e+00
0.000000e+00,M1_L,-0.000000e+00,-0.000000e+00
0.000000e+00,M1_VTO,0.000000e+00,0.000000e+00
0.000000e+00,M1_KP,0.000000e+00,0.000000e+00
0.000000e+00,M1_MU,0.000000e+00,0.000000e+00
0.000000e+00,M1_COX,0.000000e+00,0.000000e+00
0.000000e+00,C1,-0.000000e+00,-0.000000e+00
1.000000e-10,V1,4.761905e-02,1.000000e+00
1.000000e-10,V2,0.000000e+00,0.000000e+00
1.000000e-10,R1,4.229421e-21,-0.000000e+00
1.000000e-10,M1_W,0.000000e+00,0.000000e+00
1.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
1.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
1.000000e-10,M1_KP,0.000000e+00,0.000000e+00
1.000000e-10,M1_MU,0.000000e+00,0.000000e+00
1.000000e-10,M1_COX,0.000000e+00,0.000000e+00
1.000000e-10,C1,-8.458842e-03,-0.000000e+00
2.000000e-10,V1,4.761905e-02,1.000000e+00
2.000000e-10,V2,0.000000e+00,0.000000e+00
2.000000e-10,R1,8.458842e-21,-0.000000e+00
2.000000e-10,M1_W,0.000000e+00,0.000000e+00
2.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
2.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
2.000000e-10,M1_KP,0.000000e+00,0.000000e+00
2.000000e-10,M1_MU,0.000000e+00,0.000000e+00
2.000000e-10,M1_COX,0.000000e+00,0.000000e+00
2.000000e-10,C1,-8.458842e-03,-0.000000e+00
3.000000e-10,V1,4.761905e-02,1.000000e+00
3.000000e-10,V2,0.000000e+00,0.000000e+00
3.000000e-10,R1,8.458842e-21,-0.000000e+00
3.000000e-10,M1_W,0.000000e+00,0.000000e+00
3.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
3.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
3.000000e-10,M1_KP,0.000000e+00,0.000000e+00
3.000000e-10,M1_MU,0.000000e+00,0.000000e+00
3.000000e-10,M1_COX,0.000000e+00,0.000000e+00
3.000000e-10,C1,-0.000000e+00,-0.000000e+00
4.000000e-10,V1,4.761905e-02,1.000000e+00
4.000000e-10,V2,0.000000e+00,0.000000e+00
4.000000e-10,R1,8.458842e-21,-0.000000e+00
4.000000e-10,M1_W,0.000000e+00,0.000000e+00
4.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
4.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
4.000000e-10,M1_KP,0.000000e+00,0.000000e+00
4.000000e-10,M1_MU,0.000000e+00,0.000000e+00
4.000000e-10,M1_COX,0.000000e+00,0.000000e+00
4.000000e-10,C1,-0.000000e+00,-0.000000e+00
5.000000e-10,V1,4.761905e-02,1.000000e+00
5.000000e-10,V2,0.000000e+00,0.000000e+00
5.000000e-10,R1,8.458842e-21,-0.000000e+00
5.000000e-10,M1_W,0.000000e+00,0.000000e+00
5.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
5.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
5.000000e-10,M1_KP,0.000000e+00,0.000000e+00
5.000000e-10,M1_MU,0.000000e+00,0.000000e+00
5.000000e-10,M1_COX,0.000000e+00,0.000000e+00
5.000000e-10,C1,-0.000000e+00,-0.000000e+00
6.000000e-10,V1,4.761905e-02,1.000000e+00
6.000000e-10,V2,0.000000e+00,0.000000e+00
6.000000e-10,R1,8.458842e-21,-0.000000e+00
6.000000e-10,M1_W,0.000000e+00,0.000000e+00
6.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
6.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
6.000000e-10,M1_KP,0.000000e+00,0.000000e+00
6.000000e-10,M1_MU,0.000000e+00,0.000000e+00
6.000000e-10,M1_COX,0.000000e+00,0.000000e+00
6.000000e-10,C1,-0.000000e+00,-0.000000e+00
7.000000e-10,V1,4.761905e-02,1.000000e+00
7.000000e-10,V2,0.000000e+00,0.000000e+00
7.000000e-10,R1,8.458842e-21,-0.000000e+00
7.000000e-10,M1_W,0.000000e+00,0.000000e+00
7.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
7.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
7.000000e-10,M1_KP,0.000000e+00,0.000000e+00
7.000000e-10,M1_MU,0.000000e+00,0.000000e+00
7.000000e-10,M1_COX,0.000000e+00,0.000000e+00
7.000000e-10,C1,-0.000000e+00,-0.000000e+00
8.000000e-10,V1,4.761905e-02,1.000000e+00
8.000000e-10,V2,0.000000e+00,0.000000e+00
8.000000e-10,R1,8.458842e-21,-0.000000e+00
8.000000e-10,M1_W,0.000000e+00,0.000000e+00
8.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
8.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
8.000000e-10,M1_KP,0.000000e+00,0.000000e+00
8.000000e-10,M1_MU,0.000000e+00,0.000000e+00
8.000000e-10,M1_COX,0.000000e+00,0.000000e+00
8.000000e-10,C1,-0.000000e+00,-0.000000e+00
9.000000e-10,V1,4.761905e-02,1.000000e+00
9.000000e-10,V2,0.000000e+00,0.000000e+00
9.000000e-10,R1,8.458842e-21,-0.000000e+00
9.000000e-10,M1_W,0.000000e+00,0.000000e+00
9.000000e-10,M1_L,-0.000000e+00,-0.000000e+00
9.000000e-10,M1_VTO,0.000000e+00,0.000000e+00
9.000000e-10,M1_KP,0.000000e+00,0.000000e+00
9.000000e-10,M1_MU,0.000000e+00,0.000000e+00
9.000000e-10,M1_COX,0.000000e+00,0.000000e+00
9.000000e-10,C1,-0.000000e+00,-0.000000e+00
1.000000e-09,V1,4.761905e-02,1.000000e+00
1.000000e-09,V2,0.000000e+00,0.000000e+00
1.000000e-09,R1,8.458842e-21,-0.000000e+00
1.000000e-09,M1_W,0.000000e+00,0.000000e+00
1.000000e-09,M1_L,-0.000000e+00,-0.000000e+00
1.000000e-09,M1_VTO,0.000000e+00,0.000000e+00
1.000000e-09,M1_KP,0.000000e+00,0.000000e+00
1.000000e-09,M1_MU,0.000000e+00,0.000000e+00
1.000000e-09,M1_COX,0.000000e+00,0.000000e+00
1.000000e-09,C1,-0.000000e+00,-0.000000e+00
1.100000e-09,V1,4.682108e-02,1.000000e+00
1.100000e-09,V2,-3.859039e-01,0.000000e+00
1.100000e-09,R1,-4.115344e-06,0.000000e+00
1.100000e-09,M1_W,4.321112e+05,0.000000e+00
1.100000e-09,M1_L,-8.642223e+05,-0.000000e+00
1.100000e-09,M1_VTO,-3.859039e-01,-0.000000e+00
1.100000e-09,M1_KP,8.642223e+03,0.000000e+00
1.100000e-09,M1_MU,0.000000e+00,0.000000e+00
