time (s),Parameter,dV(out),dV(in)
0.000000e+00,V1,1.000000e+00,1.000000e+00
0.000000e+00,R1,-0.000000e+00,0.000000e+00
0.000000e+00,C1,-0.000000e+00,-0.000000e+00
1.000000e-05,V1,4.761905e-02,1.000000e+00
1.000000e-05,R1,-2.267574e-04,0.000000e+00
1.000000e-05,C1,-2.267574e+06,-0.000000e+00
2.000000e-05,V1,4.761905e-02,1.000000e+00
2.000000e-05,R1,-2.051614e-04,0.000000e+00
2.000000e-05,C1,-4.319188e+06,-0.000000e+00
3.000000e-05,V1,4.761905e-02,1.000000e+00
3.000000e-05,R1,-1.856222e-04,0.000000e+00
3.000000e-05,C1,-3.907837e+06,-0.000000e+00
4.000000e-05,V1,4.761905e-02,1.000000e+00
4.000000e-05,R1,-1.679439e-04,0.000000e+00
4.000000e-05,C1,-3.535662e+06,-0.000000e+00
5.000000e-05,V1,4.761905e-02,1.000000e+00
5.000000e-05,R1,-1.519493e-04,0.000000e+00
5.000000e-05,C1,-3.198932e+06,-0.000000e+00
6.000000e-05,V1,4.761905e-02,1.000000e+00
6.000000e-05,R1,-1.374779e-04,0.000000e+00
6.000000e-05,C1,-2.894272e+06,-0.000000e+00
7.000000e-05,V1,4.761905e-02,1.000000e+00
7.000000e-05,R1,-1.243848e-04,0.000000e+00
7.000000e-05,C1,-2.618627e+06,-0.000000e+00
8.000000e-05,V1,4.761905e-02,1.000000e+00
8.000000e-05,R1,-1.125386e-04,0.000000e+00
8.000000e-05,C1,-2.369234e+06,-0.000000e+00
9.000000e-05,V1,4.761905e-02,1.000000e+00
9.000000e-05,R1,-1.018206e-04,0.000000e+00
9.000000e-05,C1,-2.143593e+06,-0.000000e+00
1.000000e-04,V1,4.761905e-02,1.000000e+00
1.000000e-04,R1,-9.212344e-05,0.000000e+00
1.000000e-04,C1,-1.939441e+06,-0.000000e+00
1.100000e-04,V1,4.761905e-02,1.000000e+00
1.100000e-04,R1,-8.334978e-05,0.000000e+00
1.100000e-04,C1,-1.754732e+06,-0.000000e+00
1.200000e-04,V1,4.761905e-02,1.000000e+00
1.200000e-04,R1,-7.541171e-05,0.000000e+00
1.200000e-04,C1,-1.587615e+06,-0.000000e+00
1.300000e-04,V1,4.761905e-02,1.000000e+00
1.300000e-04,R1,-6.822964e-05,0.000000e+00
1.300000e-04,C1,-1.436413e+06,-0.000000e+00
1.400000e-04,V1,4.761905e-02,1.000000e+00
1.400000e-04,R1,-6.173158e-05,0.000000e+00
1.400000e-04,C1,-1.299612e+06,-0.000000e+00
1.500000e-04,V1,4.761905e-02,1.000000e+00
1.500000e-04,R1,-5.585238e-05,0.000000e+00
1.500000e-04,C1,-1.175840e+06,-0.000000e+00
1.600000e-04,V1,4.761905e-02,1.000000e+00
1.600000e-04,R1,-5.053311e-05,0.000000e+00
1.600000e-04,C1,-1.063855e+06,-0.000000e+00
1.700000e-04,V1,4.761905e-02,1.000000e+00
1.700000e-04,R1,-4.572043e-05,0.000000e+00
1.700000e-04,C1,-9.625354e+05,-0.000000e+00
1.800000e-04,V1,4.761905e-02,1.000000e+00
1.800000e-04,R1,-4.136610e-05,0.000000e+00
1.800000e-04,C1,-8.708653e+05,-0.000000e+00
1.900000e-04,V1,4.761905e-02,1.000000e+00
1.900000e-04,R1,-3.742647e-05,0.000000e+00
1.900000e-04,C1,-7.879258e+05,-0.000000e+00
2.000000e-04,V1,4.761905e-02,1.000000e+00
2.000000e-04,R1,-3.386205e-05,0.000000e+00
2.000000e-04,C1,-7.128852e+05,-0.000000e+00
2.100000e-04,V1,4.761905e-02,1.000000e+00
2.100000e-04,R1,-3.063709e-05,0.000000e+00
2.100000e-04,C1,-6.449914e+05,-0.000000e+00
2.200000e-04,V1,4.761905e-02,1.000000e+00
2.200000e-04,R1,-2.771927e-05,0.000000e+00
2.200000e-04,C1,-5.835636e+05,-0.000000e+00
2.300000e-04,V1,4.761905e-02,1.000000e+00
2.300000e-04,R1,-2.507934e-05,0.000000e+00
2.300000e-04,C1,-5.279862e+05,-0.000000e+00
2.400000e-04,V1,4.761905e-02,1.000000e+00
2.400000e-04,R1,-2.269083e-05,0.000000e+00
2.400000e-04,C1,-4.777018e+05,-0.000000e+00
2.500000e-04,V1,4.761905e-02,1.000000e+00
2.500000e-04,R1,-2.052980e-05,0.000000e+00
2.500000e-04,C1,-4.322064e+05,-0.000000e+00
2.600000e-04,V1,4.761905e-02,1.000000e+00
2.600000e-04,R1,-1.857458e-05,0.000000e+00
2.600000e-04,C1,-3.910438e+05,-0.000000e+00
2.700000e-04,V1,4.761905e-02,1.000000e+00
2.700000e-04,R1,-1.680557e-05,0.000000e+00
2.700000e-04,C1,-3.538016e+05,-0.000000e+00
2.800000e-04,V1,4.761905e-02,1.000000e+00
2.800000e-04,R1,-1.520504e-05,0.000000e+00
2.800000e-04,C1,-3.201062e+05,-0.000000e+00
2.900000e-04,V1,4.761905e-02,1.000000e+00
2.900000e-04,R1,-1.375694e-05,0.000000e+00
2.900000e-04,C1,-2.896199e+05,-0.000000e+00
3.000000e-04,V1,4.761905e-02,1.000000e+00
3.000000e-04,R1,-1.244676e-05,0.000000e+00
3.000000e-04,C1,-2.620370e+05,-0.000000e+00
3.100000e-04,V1,4.761905e-02,1.000000e+00
3.100000e-04,R1,-1.126135e-05,0.000000e+00
3.100000e-04,C1,-2.370811e+05,-0.000000e+00
3.200000e-04,V1,4.761905e-02,1.000000e+00
3.200000e-04,R1,-1.018884e-05,0.000000e+00
3.200000e-04,C1,-2.145020e+05,-0.000000e+00
3.300000e-04,V1,4.761905e-02,1.000000e+00
3.300000e-04,R1,-9.218478e-06,0.000000e+00
3.300000e-04,C1,-1.940732e+05,-0.000000e+00
3.400000e-04,V1,4.761905e-02,1.000000e+00
3.400000e-04,R1,-8.340527e-06,0.000000e+00
3.400000e-04,C1,-1.755901e+05,-0.000000e+00
3.500000e-04,V1,4.761905e-02,1.000000e+00
3.500000e-04,R1,-7.546191e-06,0.000000e+00
3.500000e-04,C1,-1.588672e+05,-0.000000e+00
3.600000e-04,V1,4.761905e-02,1.000000e+00
3.600000e-04,R1,-6.827507e-06,0.000000e+00
3.600000e-04,C1,-1.437370e+05,-0.000000e+00
3.700000e-04,V1,4.761905e-02,1.000000e+00
3.700000e-04,R1,-6.177268e-06,0.000000e+00
3.700000e-04,C1,-1.300477e+05,-0.000000e+00
3.800000e-04,V1,4.761905e-02,1.000000e+00
3.800000e-04,R1,-5.588957e-06,0.000000e+00
3.800000e-04,C1,-1.176622e+05,-0.000000e+00
3.900000e-04,V1,4.761905e-02,1.000000e+00
3.900000e-04,R1,-5.056675e-06,0.000000e+00
3.900000e-04,C1,-1.064563e+05,-0.000000e+00
4.000000e-04,V1,4.761905e-02,1.000000e+00
4.000000e-04,R1,-4.575087e-06,0.000000e+00
4.000000e-04,C1,-9.631762e+04,-0.000000e+00
4.100000e-04,V1,4.761905e-02,1.000000e+00
4.100000e-04,R1,-4.139364e-06,0.000000e+00
4.100000e-04,C1,-8.714451e+04,-0.000000e+00
4.200000e-04,V1,4.761905e-02,1.000000e+00
4.200000e-04,R1,-3.745139e-06,0.000000e+00
4.200000e-04,C1,-7.884504e+04,-0.000000e+00
4.300000e-04,V1,4.761905e-02,1.000000e+00
4.300000e-04,R1,-3.388459e-06,0.000000e+00
4.300000e-04,C1,-7.133598e+04,-0.000000e+00
4.400000e-04,V1,4.761905e-02,1.000000e+00
4.400000e-04,R1,-3.065749e-06,0.000000e+00
4.400000e-04,C1,-6.454208e+04,-0.000000e+00
4.500000e-04,V1,4.761905e-02,1.000000e+00
4.500000e-04,R1,-2.773773e-06,0.000000e+00
4.500000e-04,C1,-5.839522e+04,-0.000000e+00
4.600000e-04,V1,4.761905e-02,1.000000e+00
4.600000e-04,R1,-2.509604e-06,0.000000e+00
4.600000e-04,C1,-5.283377e+04,-0.000000e+00
4.700000e-04,V1,4.761905e-02,1.000000e+00
4.700000e-04,R1,-2.270594e-06,0.000000e+00
4.700000e-04,C1,-4.780198e+04,-0.000000e+00
4.800000e-04,V1,4.761905e-02,1.000000e+00
4.800000e-04,R1,-2.054347e-06,0.000000e+00
4.800000e-04,C1,-4.324941e+04,-0.000000e+00
4.900000e-04,V1,4.761905e-02,1.000000e+00
4.900000e-04,R1,-1.858695e-06,0.000000e+00
4.900000e-04,C1,-3.913042e+04,-0.000000e+00
5.000000e-04,V1,4.761905e-02,1.000000e+00
5.000000e-04,R1,-1.681676e-06,0.000000e+00
5.000000e-04,C1,-3.540371e+04,-0.000000e+00
5.100000e-04,V1,4.761905e-02,1.000000e+00
5.100000e-04,R1,-1.521517e-06,0.000000e+00
5.100000e-04,C1,-3.203193e+04,-0.000000e+00
5.200000e-04,V1,4.761905e-02,1.000000e+00
5.200000e-04,R1,-1.376610e-06,0.000000e+00
5.200000e-04,C1,-2.898127e+04,-0.000000e+00
5.300000e-04,V1,4.761905e-02,1.000000e+00
5.300000e-04,R1,-1.245505e-06,0.000000e+00
5.300000e-04,C1,-2.622115e+04,-0.000000e+00
